Label,Statements
Strong facts,"One of the biggest threats to a developing fetus is maternal malnutrition, whether caused by famine, poverty, or dieting."
Strong facts,"Maternal stress can affect fetal development, including an increased chance of cleft palate, depression, attention deficits, and distractibility."
Strong facts,Stress hormones released by the mother can also reduce the placentaâ€™s ability to protect the fetus from stress hormones in the future.
Strong facts,"Did you know that unborn babies yawn, exercise, sleep, hiccup, suck their thumb and swallow?"
Strong facts,"Your baby can breathe under water while in Utero. While still in the womb, your baby begins to breathe at about 28 weeks. His lungs arenâ€™t taking in any oxygen, they are just beginning to develop. He is beginning to practice, getting those muscles going. When he is born, those muscles are ready to breathe air!"
Strong facts,Unborn babies can hear the world around them
Strong facts,"Your baby startles in utero. However, if the same noise is repeated often, the baby will get used to it and stop startling."
Strong facts,Your baby can smell what you smell
Strong facts,"Your baby could smell and taste before she was even born. She'll quickly grow to love your own natural scent, and it may help to soothe and calm her when she's upset. So try to avoid using strong-smelling toiletries in the early weeks with your newborn"
Strong facts,Your babyâ€™s sense of smell develops more because of the amniotic fluid he is in. 
Strong facts,In the 3rd trimester he can smell even more easily since at that point the scents can pass through the placenta.
Strong facts,Breastfeeding takes practice
Strong facts,"Babies need to learn how to feed from the breast, just as you need to learn how to help them latch on. This can make the first few weeks of breastfeeding tricky and uncomfortable, but it does get easier with time."
Strong facts,"Babies have tiny tummies, and need to feed often at first. So if you're breastfeeding, you're likely to spend a lot of time with your baby at your breast in the early weeks. Be prepared, and remember that there's plenty of support available."
Strong facts,"Some breastfeeding mums worry that if their newborn loses weight in the first few days, it means they're not getting enough breastmilk. This isn't true."
Strong facts,Newborns have natural aquatic instincts when in water!
Strong facts,"Babies are born with a â€œdiving reflexâ€ known as bradycardic response, which causes their body to naturally adapt to their surroundings when submerged in water. Bubâ€™s heart rate will slow down and he will instinctively hold his breath when under water. Whatâ€™s even more incredible is that, like fish, babies can actually breathe and swallow at the same time for the first few months of their life. They learn this talent while in the womb but begin to lose this ability around the 6-month mark"
Strong facts,Babies are born with 300 bones. Thatâ€™s 94 more than adults. Where do the extra bones go? They fuse together during development.
Strong facts,Their stomachs are the size of a walnut.
Strong facts,No wonder they require constant feedings.
Strong facts,Babies lose the hair they are born with.
Strong facts,"All of it. And usually by the tender age of four months. While their original hair falls out, a whole new head of hair grows in its place"
Strong facts,Infants have supersized body parts
Strong facts,"You probably noticed your little boyâ€™s bits were especially prominent at birth (you can thank the swelling for that). While the swelling will subside, your babiesâ€™ head and eyes will remain supersized during the first year."
Strong facts,A newbornâ€™s head accounts for 1/4th of his body length while the adult human skull is about 1/7th of the total body length
Strong facts,And babiesâ€™ eyes? They are already 75 percent of the size of their adult eyes
Strong facts,Babies are born with the ability to swim
Strong facts,"Newborns naturally hold their breath when underwater, and even splash about with their arms and legs. If you take your baby to a swimming class you'll see these innate talents in action!"
Strong facts,"Your baby can go swimming as soon as you like, but if you're planning on taking her yourself, wait until after your six-week check. It's important to make sure you're healing well before going in the pool. When you do go swimming with your baby, make sure that she doesn't get too chilly. Choose a special baby pool with war"
Strong facts,"There's no such thing as normal"" baby sleep"""
Strong facts,"Newborns need a lot of shut-eye. In the first few weeks, your baby may sleep for up to 18 hours over the course of 24 hours, spread out in a series of naps at random times throughout the day and night "
Strong facts,"As she starts to learn about the difference between night and day, she'll gradually start to sleep more when it's dark and quiet"
Strong facts,"Although a sleeping and feeding routine won't work for your baby until she's around three months old, there's plenty that you can do to encourage good sleep habits during the fourth trimester, such as recognising her sleepy cues and putting her down to sleep before she gets overtired."
Strong facts,"From birth, babies can see and hear."
Strong facts,"At birth, a babyâ€™s vision is very blurry"
Strong facts,Newborns are short-sighted
Strong facts,A baby can only see clearly about a foot away at birth. So get in close and talk to her. Provide black and white objects for her to see up close.
Strong facts,"She loves to see new things, and itâ€™s very important for her visual development, but they need to be near her."
Strong facts,Premature babies are especially vulnerable to noise-induced hearing loss.
Strong facts,Your newborn baby can already distinguish the unique rhythmic patterns of the language they heard you speaking in the months before their birth.
Strong facts,Talking and singing to your baby helps them to recognise the voices of the important people in their lives and can be soothing to them
Strong facts,Your baby will be soothed and comforted by sounds that remind her of the rhythmic noises she heard in your womb (uterus). The sound of your heartbeat when you hold her close during skin-to-skin may also help to calm her and regulate her breathing.
Strong facts,A babyâ€™s hearing even within just 10 minutes of birth is good enough that they can tell where a sound is coming from. 
Strong facts,Your baby loves your scent
Strong facts,Your Baby canâ€™t taste salt until 4 months of age. your baby wouldnâ€™t even be able to taste it if you did! 
Strong facts,"At 4 months, the taste buds that sense salt, develop. "
Strong facts,Your childâ€™s kidneys also start to use sodium at 4 months of age. Interesting how they go hand in hand
Strong facts,"Babies and young kids, both have a hard time figuring out and separating background noises from voices speaking. So sometimes, a toddler isnâ€™t ignoring being called, they are just dealing with the challenge of lacking response skills."
Strong facts,"Hearing in toddlers is much better than in adults, thanks to their relatively newer ears. They can pick up higher frequencies of sounds that adults just automatically learn to tune out."
Strong facts,"Most 1 year olds are ambidextrous. Your 1 year old can use both hands equally and you think, Awesome! Most kids prefer one hand or the other by the time they are age 2 or 3. 90% of children will choose their right hand. So if you have a lefty on your hands, consider yourself lucky!"
Strong facts,"Theyâ€™re running around, exploring everything they can get their hands on, throwing tantrums and learning about their boundaries. "
Strong facts,"As a toddler, your child has over 100 trillion brain connections occurring which is more than theyâ€™ll ever have as they continue to grow. Thatâ€™s why this stage is ideal for teaching them as much as you can while those neural pathways are thriving!"
Strong facts,Toddlerhood is an explosive time for brain development.
Strong facts,Brain and nervous system developments during early childhood also continue to be dramatic.
Strong facts,"Before preschoolers enter kindergarten, their brains are more active and more flexible, with more connections per brain cell than the brains of adult human beings"
Strong facts,"At a tender age, without pressurizing kids with theoretical knowledge, it is good to introduce them to learning toys, for their brain development."
Strong facts,A babyâ€™s brain at birth contains trillions of neurons all waiting to be wired. 
Strong facts,The weight of a newbornâ€™s brain is about a quarter of its adult size. It grows like crazy in the first few years of life building connections between the neurons called synapses.
Strong facts,These synapses help the brain do everything from using a spoon to remembering the words to a song.
Strong facts,The brain develops most rapidly in the first few years of a childâ€™s life. 
Strong facts,Much of a childâ€™s brain development happens in the first few years after birth
Strong facts,"When a child is born, his entire body is functional, except the cerebral cortex. It is a part that still needs to develop."
Strong facts,Cerebellum which controls the movement of a child and which is a brain structure that is situated behind the brain is considered to be the fastest of all the brain structures to develop in a child.
Strong facts,"cerebral cortex of the brain is responsible for stories, memories, thoughts, and voluntary muscle movement. All of these skills are not able to develop until the child enters the world and starts breathing in the real world."
Strong facts,"More of such memory-related games can be introduced to them, to make their memory develop faster."
Strong facts,A baby is born with billions of brain cells and these quickly start to make connections â€“ hundreds per second â€“ as the baby interacts with the world
Strong facts,There are many cells in a childâ€™s brain that are not connected with each other until at a later stage.
Strong facts,There are many cells that do not connect with each other unless and until at a later stage.
Strong facts,Nerve cell connections in the brain of a 2 or 3 year child are almost double the number of connections available within an adult.
Strong facts,The most crucial piece of information here is that the way your child receives his learnings from you determines which cell connection will develop at this stage and which of them would no longer function.
Strong facts,"Everyone loves the terrible twos! They throw tantrums, they kick and scream, and even make you wish you could through a tantrum! Your 2 year old has more than 100 trillion synapses, or brain connections; this is the most they will have in their lifetime. Take advantage and teach them all you know, or donâ€™t know, since adults have half of the neural pathways your 2 year old has!"
Strong facts,They Have More Brain Synapses Than Adults2
Strong facts,"If neurons arenâ€™t used, they die and if the synapses arenâ€™t strong they are â€˜prunedâ€™ to make brain circuits more efficient."
Strong facts,A childâ€™s experiences really come into play to determine whether those connections strengthen or are dropped or pruned
Strong facts,"the brain is built by an interactive process known as â€˜serve and returnâ€™. Your baby serves you with a sound or gesture and you return the sound or gesture. Your baby smiles and what do you do? You poke out your tongue and what does he do? And so on it goes. These simple, instinctive interactions are building the structure of your babyâ€™s brain in what is known as brain architecture. Caring and nurturing serve and return exchanges shape a childâ€™s learning, feelings and behaviours."
Strong facts,"The better developed the brain and nervous systems are, the more complex behavioral and cognitive abilities children are capable of."
Strong facts,"The brain is comprised of two halves, the right and left cerebral hemispheres. Lateralization refers to the localization of assorted functions, competencies, and skills in either or both hemispheres. Specifically, language, writing, logic, and mathematical skills seem to be located in the left hemisphere, while creativity, fantasy, artistic, and musical skills seem to be located in the right hemisphere. Although the hemispheres may have separate functions, these brain masses almost always coordinate their functions and work together."
Strong facts,"The two cerebral hemispheres develop at different rates, with the left hemisphere developing more fully in early childhood (ages 2 to 6), and the right hemisphere developing more fully in middle childhood (ages 7 to 11). "
Strong facts,"The left hemisphere predominates earlier and longer, which may explain why children acquire language so early and quickly."
Strong facts,"Another aspect of brain development is handedness, or preference for using one hand over the other. "
Strong facts,Handedness appears to be strongly established by middle childhood.
Strong facts,A person is ambidextrous if he or she shows no preference for one hand over the other. 
Strong facts,"Typically, rightâ€handedness is associated with leftâ€cerebral dominance and leftâ€handedness with rightâ€cerebral dominance."
Strong facts,"The nervous system undergoes changes in early childhood, too. "
Strong facts,"The majority of a child's neurons, or cells that make up nerves, form prenatally. However, the glial cells, (nervous system support cells surrounding neurons) that nourish, insulate, and remove waste from the neurons without actually transmitting information themselves, develop most rapidly during infancy, toddlerhood, and early childhood. The myelin sheaths that surround, insulate, and increase the efficiency of neurons (by speeding up the action potential along the axon) also form rapidly during the first few years of life. The postnatal developments of glial cells and myelin sheaths help to explain why older children may perform behaviors that younger children are not capable of"
Strong facts,Your toddlerâ€™s brain is working twice as hard as yours
Strong facts,The Brain Of Children Is The Same Structure As The Adult Brain.
Strong facts,"The structures of the brains of kids and adults carry out the same functions through the same mechanisms. Children even think mainly in the same way as adults. But, due to the lack of experience, they need to develop their ability to think. They need to learn to regulate their own behavior and interactions. Kids also require various experiences in the classroom to help them develop these self-regulatory and self-reflective skills"
