Label,Statements,Type,Strength,statement_length,word_count
Strong facts,"One of the biggest threats to a developing fetus is maternal malnutrition, whether caused by famine, poverty, or dieting.",Facts,Strong,121,19
Strong facts,"Maternal stress can affect fetal development, including an increased chance of cleft palate, depression, attention deficits, and distractibility.",Facts,Strong,145,18
Strong facts,Stress hormones released by the mother can also reduce the placentaâ€™s ability to protect the fetus from stress hormones in the future.,Facts,Strong,136,22
Strong facts,"Did you know that unborn babies yawn, exercise, sleep, hiccup, suck their thumb and swallow?",Facts,Strong,92,15
Strong facts,"Your baby can breathe under water while in Utero. While still in the womb, your baby begins to breathe at about 28 weeks. His lungs arenâ€™t taking in any oxygen, they are just beginning to develop. He is beginning to practice, getting those muscles going. When he is born, those muscles are ready to breathe air!",Facts,Strong,313,56
Strong facts,Unborn babies can hear the world around them,Facts,Strong,44,8
Strong facts,"Your baby startles in utero. However, if the same noise is repeated often, the baby will get used to it and stop startling.",Facts,Strong,123,23
Strong facts,Your baby can smell what you smell,Facts,Strong,34,7
Strong facts,"Your baby could smell and taste before she was even born. She'll quickly grow to love your own natural scent, and it may help to soothe and calm her when she's upset. So try to avoid using strong-smelling toiletries in the early weeks with your newborn",Facts,Strong,252,46
Strong facts,Your babyâ€™s sense of smell develops more because of the amniotic fluid he is in. ,Facts,Strong,83,15
Strong facts,In the 3rd trimester he can smell even more easily since at that point the scents can pass through the placenta.,Facts,Strong,112,21
Strong facts,Breastfeeding takes practice,Facts,Strong,28,3
Strong facts,"Babies need to learn how to feed from the breast, just as you need to learn how to help them latch on. This can make the first few weeks of breastfeeding tricky and uncomfortable, but it does get easier with time.",Facts,Strong,213,41
Strong facts,"Babies have tiny tummies, and need to feed often at first. So if you're breastfeeding, you're likely to spend a lot of time with your baby at your breast in the early weeks. Be prepared, and remember that there's plenty of support available.",Facts,Strong,241,43
Strong facts,"Some breastfeeding mums worry that if their newborn loses weight in the first few days, it means they're not getting enough breastmilk. This isn't true.",Facts,Strong,152,25
Strong facts,Newborns have natural aquatic instincts when in water!,Facts,Strong,54,8
Strong facts,"Babies are born with a â€œdiving reflexâ€ known as bradycardic response, which causes their body to naturally adapt to their surroundings when submerged in water. Bubâ€™s heart rate will slow down and he will instinctively hold his breath when under water. Whatâ€™s even more incredible is that, like fish, babies can actually breathe and swallow at the same time for the first few months of their life. They learn this talent while in the womb but begin to lose this ability around the 6-month mark",Facts,Strong,500,85
Strong facts,Babies are born with 300 bones. Thatâ€™s 94 more than adults. Where do the extra bones go? They fuse together during development.,Facts,Strong,129,22
Strong facts,Their stomachs are the size of a walnut.,Facts,Strong,40,8
Strong facts,No wonder they require constant feedings.,Facts,Strong,41,6
Strong facts,Babies lose the hair they are born with.,Facts,Strong,40,8
Strong facts,"All of it. And usually by the tender age of four months. While their original hair falls out, a whole new head of hair grows in its place",Facts,Strong,137,28
Strong facts,Infants have supersized body parts,Facts,Strong,34,5
Strong facts,"You probably noticed your little boyâ€™s bits were especially prominent at birth (you can thank the swelling for that). While the swelling will subside, your babiesâ€™ head and eyes will remain supersized during the first year.",Facts,Strong,227,36
Strong facts,A newbornâ€™s head accounts for 1/4th of his body length while the adult human skull is about 1/7th of the total body length,Facts,Strong,124,23
Strong facts,And babiesâ€™ eyes? They are already 75 percent of the size of their adult eyes,Facts,Strong,79,15
Strong facts,Babies are born with the ability to swim,Facts,Strong,40,8
Strong facts,"Newborns naturally hold their breath when underwater, and even splash about with their arms and legs. If you take your baby to a swimming class you'll see these innate talents in action!",Facts,Strong,186,32
Strong facts,"Your baby can go swimming as soon as you like, but if you're planning on taking her yourself, wait until after your six-week check. It's important to make sure you're healing well before going in the pool. When you do go swimming with your baby, make sure that she doesn't get too chilly. Choose a special baby pool with war",Facts,Strong,324,60
Strong facts,"There's no such thing as normal"" baby sleep""",Facts,Strong,44,8
Strong facts,"Newborns need a lot of shut-eye. In the first few weeks, your baby may sleep for up to 18 hours over the course of 24 hours, spread out in a series of naps at random times throughout the day and night ",Facts,Strong,201,41
Strong facts,"As she starts to learn about the difference between night and day, she'll gradually start to sleep more when it's dark and quiet",Facts,Strong,128,23
Strong facts,"Although a sleeping and feeding routine won't work for your baby until she's around three months old, there's plenty that you can do to encourage good sleep habits during the fourth trimester, such as recognising her sleepy cues and putting her down to sleep before she gets overtired.",Facts,Strong,285,48
Strong facts,"From birth, babies can see and hear.",Facts,Strong,36,7
Strong facts,"At birth, a babyâ€™s vision is very blurry",Facts,Strong,42,8
Strong facts,Newborns are short-sighted,Facts,Strong,26,3
Strong facts,A baby can only see clearly about a foot away at birth. So get in close and talk to her. Provide black and white objects for her to see up close.,Facts,Strong,145,31
Strong facts,"She loves to see new things, and itâ€™s very important for her visual development, but they need to be near her.",Facts,Strong,112,21
Strong facts,Premature babies are especially vulnerable to noise-induced hearing loss.,Facts,Strong,73,9
Strong facts,Your newborn baby can already distinguish the unique rhythmic patterns of the language they heard you speaking in the months before their birth.,Facts,Strong,144,23
Strong facts,Talking and singing to your baby helps them to recognise the voices of the important people in their lives and can be soothing to them,Facts,Strong,134,25
Strong facts,Your baby will be soothed and comforted by sounds that remind her of the rhythmic noises she heard in your womb (uterus). The sound of your heartbeat when you hold her close during skin-to-skin may also help to calm her and regulate her breathing.,Facts,Strong,247,44
Strong facts,A babyâ€™s hearing even within just 10 minutes of birth is good enough that they can tell where a sound is coming from. ,Facts,Strong,120,23
Strong facts,Your baby loves your scent,Facts,Strong,26,5
Strong facts,Your Baby canâ€™t taste salt until 4 months of age. your baby wouldnâ€™t even be able to taste it if you did! ,Facts,Strong,110,22
Strong facts,"At 4 months, the taste buds that sense salt, develop. ",Facts,Strong,54,10
Strong facts,Your childâ€™s kidneys also start to use sodium at 4 months of age. Interesting how they go hand in hand,Facts,Strong,104,20
Strong facts,"Babies and young kids, both have a hard time figuring out and separating background noises from voices speaking. So sometimes, a toddler isnâ€™t ignoring being called, they are just dealing with the challenge of lacking response skills.",Facts,Strong,236,37
Strong facts,"Hearing in toddlers is much better than in adults, thanks to their relatively newer ears. They can pick up higher frequencies of sounds that adults just automatically learn to tune out.",Facts,Strong,185,31
Strong facts,"Most 1 year olds are ambidextrous. Your 1 year old can use both hands equally and you think, Awesome! Most kids prefer one hand or the other by the time they are age 2 or 3. 90% of children will choose their right hand. So if you have a lefty on your hands, consider yourself lucky!",Facts,Strong,282,56
Strong facts,"Theyâ€™re running around, exploring everything they can get their hands on, throwing tantrums and learning about their boundaries. ",Facts,Strong,131,18
Strong facts,"As a toddler, your child has over 100 trillion brain connections occurring which is more than theyâ€™ll ever have as they continue to grow. Thatâ€™s why this stage is ideal for teaching them as much as you can while those neural pathways are thriving!",Facts,Strong,251,44
Strong facts,Toddlerhood is an explosive time for brain development.,Facts,Strong,55,8
Strong facts,Brain and nervous system developments during early childhood also continue to be dramatic.,Facts,Strong,90,13
Strong facts,"Before preschoolers enter kindergarten, their brains are more active and more flexible, with more connections per brain cell than the brains of adult human beings",Facts,Strong,162,25
